Rank,Title,Year of Release,Critic Score,Synopsis,Movie URL,Genre,Director,Runtime,Rating,Box Office (Gross USA),Original Language
#1,The Godfather,1972,97%,"Synopsis: Widely regarded as one of the greatest films of all time, this mob drama, based on Mario Puzo's novel of						 [More]",https://www.rottentomatoes.com/m/the_godfather,"Crime, Drama",Francis Ford Coppola,2h 57m,R,$134.8M,English
#2,Casablanca,1942,99%,"Synopsis: Rick Blaine (Humphrey Bogart), who owns a nightclub in Casablanca, discovers his old flame Ilsa (Ingrid Bergman) is in town						 [More]",https://www.rottentomatoes.com/m/1003707-casablanca,Drama,Michael Curtiz,1h 42m,PG,N/A,English
#3,L.A. Confidential,1997,99%,"Synopsis: Three policemen, each with his own motives and obsessions, tackle the corruption surrounding an unsolved murder at a downtown Los						 [More]",https://www.rottentomatoes.com/m/la_confidential,"Crime, Drama",Curtis Hanson,2h 16m,R,$64.6M,English
#4,Seven Samurai,1954,100%,"Synopsis: A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits,						 [More]",https://www.rottentomatoes.com/m/seven_samurai_1956,Action,Akira Kurosawa,3h 28m,N/A,$487.3K,Japanese
#5,Parasite,2019,99%,Synopsis: Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.						 [More],https://www.rottentomatoes.com/m/parasite_2019,"Comedy, Mystery & Thriller, Drama",Bong Joon Ho,2h 12m,R (Sexual Content|Language|Some Violence),$53.7M,Korean
#6,Schindler's List,1993,98%,"Synopsis: Businessman Oskar Schindler (Liam Neeson) arrives in Krakow in 1939, ready to make his fortune from World War II, which						 [More]",https://www.rottentomatoes.com/m/schindlers_list,"History, Drama",Steven Spielberg,3h 15m,R (Language|Actuality Violence|Some Sexuality),$96.6M,English
#7,Top Gun: Maverick,2022,96%,"Synopsis: After more than thirty years of service as one of the Navy’s top aviators, Pete “Maverick” Mitchell (Tom Cruise) is						 [More]",https://www.rottentomatoes.com/m/top_gun_maverick,"Action, Adventure",Joseph Kosinski,2h 11m,PG-13 (Some Strong Language|Sequences of Intense Action),$718.5M,English
#8,Chinatown,1974,98%,"Synopsis: When Los Angeles private eye J.J. Jake Gittes (Jack Nicholson) is hired by Evelyn Mulwray to investigate her husband's activities,						 [More]",https://www.rottentomatoes.com/m/chinatown,"Crime, Drama",Roman Polanski,2h 11m,R,N/A,English
#9,On the Waterfront,1954,99%,Synopsis: Dockworker Terry Malloy (Marlon Brando) had been an up-and-coming boxer until powerful local mob boss Johnny Friendly (Lee J. Cobb)						 [More],https://www.rottentomatoes.com/m/on_the_waterfront,Drama,Elia Kazan,1h 48m,N/A,N/A,English
#10,Toy Story 2,1999,100%,"Synopsis: Woody (Tom Hanks) is stolen from his home by toy dealer Al McWhiggin (Wayne Knight), leaving Buzz Lightyear (Tim Allen)						 [More]",https://www.rottentomatoes.com/m/toy_story_2,"Kids & Family, Comedy, Adventure, Fantasy, Animation","Ash Brannon, John Lasseter, Lee Unkrich",1h 32m,G,$245.9M,English
#11,Rear Window,1954,98%,Synopsis: A newspaper photographer with a broken leg passes time recuperating by observing his neighbors through his window. He sees what						 [More],https://www.rottentomatoes.com/m/1017289-rear_window,Mystery & Thriller,Alfred Hitchcock,1h 52m,PG,$1.6M,English
#12,The Battle of Algiers,1966,99%,"Synopsis: Paratrooper commander Colonel Mathieu (Jean Martin), a former French Resistance fighter during World War II, is sent to 1950s Algeria						 [More]",https://www.rottentomatoes.com/m/the_battle_of_algiers,"War, History, Drama",Gillo Pontecorvo,2h 5m,N/A,$55.9K,Arabic
#13,Modern Times,1936,98%,Synopsis: This comedic masterpiece finds the iconic Little Tramp (Charlie Chaplin) employed at a state-of-the-art factory where the inescapable machinery completely						 [More],https://www.rottentomatoes.com/m/modern_times,Comedy,Charlie Chaplin,1h 29m,G,$163.2K,English
#14,Finding Nemo,2003,99%,"Synopsis: Marlin (Albert Brooks), a clown fish, is overly cautious with his son, Nemo (Alexander Gould), who has a foreshortened fin.						 [More]",https://www.rottentomatoes.com/m/finding_nemo,"Kids & Family, Comedy, Adventure, Animation",Andrew Stanton,1h 40m,G,N/A,English
#15,How to Train Your Dragon,2010,99%,Synopsis: A misfit Viking teenager sees a chance to change the course of his clan's future when he befriends an injured						 [More],https://www.rottentomatoes.com/m/how_to_train_your_dragon,"Kids & Family, Fantasy, Adventure, Comedy, Animation","Christopher Sanders, Dean DeBlois",1h 38m,PG (Sequences of Intense Action|Brief Mild Language|Some Scary Images),$217.4M,English
#16,Toy Story 3,2010,98%,"Synopsis: With their beloved Andy preparing to leave for college, Woody (Tom Hanks), Buzz Lightyear (Tim Allen), Jessie (Joan Cusack), and						 [More]",https://www.rottentomatoes.com/m/toy_story_3,"Kids & Family, Comedy, Adventure, Fantasy, Animation",Lee Unkrich,1h 42m,G,$415.0M,English
#17,Up,2009,98%,"Synopsis: Carl Fredricksen (Ed Asner), a 78-year-old balloon salesman, is about to fulfill a lifelong dream. Tying thousands of balloons to						 [More]",https://www.rottentomatoes.com/m/up,"Kids & Family, Comedy, Adventure, Animation","Pete Docter, Bob Peterson",1h 36m,PG (Some Peril and Action),N/A,English
#18,All About Eve,1950,99%,"Synopsis: Backstage story revolving around aspiring actress Eve Harrington. Tattered and forlorn, Eve shows up in the dressing room of Broadway						 [More]",https://www.rottentomatoes.com/m/1000626-all_about_eve,Drama,Joseph L. Mankiewicz,2h 18m,N/A,$10.2K,English
#19,Godzilla Minus One,2023,99%,Synopsis: Japan is already devastated by the war when a new crisis emerges in the form of a giant monster.						 [More],https://www.rottentomatoes.com/m/godzilla_minus_one,"Sci-Fi, Action, Adventure",Takashi Yamazaki,2h 5m,PG-13 (Creature Violence and Action),$56.9M,Japanese
#20,Toy Story,1995,100%,"Synopsis: Woody (Tom Hanks), a good-hearted cowboy doll who belongs to a young boy named Andy (John Morris), sees his position						 [More]",https://www.rottentomatoes.com/m/toy_story,"Kids & Family, Comedy, Adventure, Fantasy, Animation",John Lasseter,1h 21m,G,$31.3M,English
#21,Singin' in the Rain,1952,100%,Synopsis: A spoof of the turmoil that afflicted the movie industry in the late 1920s when movies went from silent to						 [More],https://www.rottentomatoes.com/m/singin_in_the_rain,"Musical, Comedy","Stanley Donen, Gene Kelly",1h 42m,G,$23.9K,English
#22,The Wrestler,2008,99%,"Synopsis: Aging wrestler Randy ""The Ram"" Robinson (Mickey Rourke) is long past his prime but still ready and rarin' to go						 [More]",https://www.rottentomatoes.com/m/the_wrestler,Drama,Darren Aronofsky,1h 50m,R (Nudity|Language|Sexuality|Some Drug Use|Violence),$26.2M,English
#23,Spotlight,2015,97%,"Synopsis: In 2001, editor Marty Baron of The Boston Globe assigns a team of journalists to investigate allegations against John Geoghan,						 [More]",https://www.rottentomatoes.com/m/spotlight_2015,Drama,Tom McCarthy,2h 8m,R (Some Language|Sexual References),$45.0M,English
#24,A Separation,2011,99%,"Synopsis: When Nader (Payman Maadi), a bank employee, refuses to leave Tehran, his wife, Simin (Leila Hatami) sues for divorce in						 [More]",https://www.rottentomatoes.com/m/a_separation_2011,Drama,Asghar Farhadi,2h 3m,PG-13 (Mature Thematic Material),$331.7K,Persian
#25,Spider-Man: Into the Spider-Verse,2018,97%,"Synopsis: Bitten by a radioactive spider in the subway, Brooklyn teenager Miles Morales suddenly develops mysterious powers that transform him into						 [More]",https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,"Kids & Family, Action, Adventure, Comedy, Fantasy, Animation","Bob Persichetti, Peter Ramsey, Rodney Rothman",1h 57m,PG (Mild Language|Frenetic Action Violence|Thematic Elements),$190.2M,English
#26,12 Angry Men,1957,100%,"Synopsis: Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict						 [More]",https://www.rottentomatoes.com/m/1000013_12_angry_men,Drama,Sidney Lumet,1h 35m,N/A,N/A,English
#27,The Philadelphia Story,1940,100%,"Synopsis: This classic romantic comedy focuses on Tracy Lord (Katharine Hepburn), a Philadelphia socialite who has split from her husband, C.K.						 [More]",https://www.rottentomatoes.com/m/philadelphia_story,"Romance, Comedy",George Cukor,1h 52m,N/A,N/A,English
#28,Spirited Away,2001,96%,Synopsis: 10-year-old Chihiro (Daveigh Chase) moves with her parents to a new home in the Japanese countryside. After taking a wrong						 [More],https://www.rottentomatoes.com/m/spirited_away,"Fantasy, Adventure, Animation",Hayao Miyazaki,2h 5m,PG (Some Scary Moments),$10.0M,Japanese
#29,Inside Out,2015,98%,"Synopsis: Riley (Kaitlyn Dias) is a happy, hockey-loving 11-year-old Midwestern girl, but her world turns upside-down when she and her parents						 [More]",https://www.rottentomatoes.com/m/inside_out_2015,"Kids & Family, Comedy, Fantasy, Animation",Pete Docter,1h 35m,PG (Some Action|Mild Thematic Elements),$2.0M,English
#30,The Third Man,1949,99%,"Synopsis: Set in postwar Vienna, Austria, ""The Third Man"" stars Joseph Cotten as Holly Martins, a writer of pulp Westerns, who						 [More]",https://www.rottentomatoes.com/m/the_third_man,Mystery & Thriller,Carol Reed,1h 44m,N/A,$447.0K,English
#31,Coco,2017,97%,"Synopsis: Despite his family's generations-old ban on music, young Miguel dreams of becoming an accomplished musician like his idol Ernesto de						 [More]",https://www.rottentomatoes.com/m/coco_2017,"Kids & Family, Comedy, Adventure, Music, Animation",Lee Unkrich,1h 49m,PG (Thematic Elements),$210.5M,English
